datetime,open,high,low,close,volume
2018-11-18,5503.36,5658.47,5500.0,5559.26,2576.4553201
2018-11-19,5553.01,5559.69,4694.44,4735.44,28910.66553331
2018-11-20,4732.92,4897.36,4048.58,4352.0,39775.38943928
2018-11-21,4349.41,4635.0,4242.33,4538.01,20678.25000596
2018-11-22,4551.47,4589.53,4194.98,4275.23,10258.46172893
2018-11-23,4268.4,4364.46,4061.02,4288.26,13322.77736822
2018-11-24,4288.25,4376.88,3638.48,3785.65,14236.74417437
2018-11-25,3780.67,4120.0,3474.73,3938.89,26969.94763424
2018-11-26,3934.22,4069.59,3522.28,3727.34,24357.88293934
2018-11-27,3727.34,3834.35,3548.76,3771.01,16814.00296565
2018-11-28,3771.01,4355.08,3771.0,4220.16,22983.71348838
2018-11-29,4219.77,4409.77,4086.97,4249.8,15944.01262628
2018-11-30,4250.0,4300.0,3861.0,3971.06,14364.62144791
2018-12-01,3970.56,4264.47,3904.34,4140.39,6412.23253743
2018-12-02,4140.4,4265.0,4030.0,4102.05,7019.16205825
2018-12-03,4099.63,4115.15,3747.0,3834.34,10726.6773046
2018-12-04,3830.81,4033.98,3730.0,3903.52,12249.9368879
2018-12-05,3903.52,3913.62,3662.35,3696.69,13443.22072621
2018-12-06,3694.03,3844.79,3415.22,3437.26,15480.96697218
2018-12-07,3437.22,3531.0,3210.0,3380.68,26513.2316249
2018-12-08,3376.27,3495.99,3241.0,3398.8,10176.34927433
2018-12-09,3398.8,3633.2,3371.09,3529.75,8011.02295177
2018-12-10,3528.68,3588.43,3355.0,3408.0,10375.26877055
2018-12-11,3406.41,3427.27,3292.65,3353.42,8951.71070828
2018-12-12,3345.01,3490.0,3325.7,3430.18,7284.10378196
2018-12-13,3430.2,3441.13,3221.14,3262.73,11715.01908312
2018-12-14,3263.55,3294.81,3135.55,3195.75,14437.50526664
2018-12-15,3194.04,3230.0,3122.28,3179.54,5814.86853241
2018-12-16,3180.84,3259.43,3178.23,3193.78,6033.50714633
2018-12-17,3191.41,3590.0,3181.26,3496.73,16389.79444903
2018-12-18,3499.37,3684.0,3422.77,3667.16,13792.36427592
2018-12-19,3667.16,3924.01,3642.69,3684.5,21125.61437541
2018-12-20,3684.03,4172.07,3656.75,4073.77,25986.85291601
2018-12-21,4073.58,4162.0,3770.0,3841.08,16967.23460506
2018-12-22,3842.59,4010.16,3780.09,3980.9,7697.59815203
2018-12-23,3977.65,4051.0,3900.0,3943.83,4609.89261726
2018-12-24,3947.82,4236.84,3944.84,4036.0,12017.91713092
2018-12-25,4034.54,4049.23,3674.73,3779.99,11801.43441841
2018-12-26,3780.0,3863.34,3678.8,3810.01,10064.18282348
2018-12-27,3810.01,3841.17,3566.0,3591.69,11850.0123819
2018-12-28,3590.26,3970.0,3575.0,3884.97,13055.71840689
2018-12-29,3884.66,3961.85,3702.51,3725.48,6901.3823318
2018-12-30,3728.96,3870.0,3688.76,3835.79,5736.45370818
2018-12-31,3831.03,3842.89,3630.0,3693.3,6667.16373743
2019-01-01,3693.85,3845.46,3629.66,3823.44,5149.60627729
2019-01-02,3825.41,3918.67,3770.0,3885.87,5534.46951453
2019-01-03,3890.27,3893.4,3760.0,3787.81,4803.2461092
2019-01-04,3785.64,3850.33,3732.38,3817.71,7452.05894356
2019-01-05,3822.0,3887.09,3780.0,3791.84,3656.37531439
2019-01-06,3795.38,4090.0,3753.0,4040.71,5400.71486407
2019-01-07,4040.71,4070.0,3964.01,4005.45,7445.09600426
2019-01-08,4005.0,4112.0,3934.73,3994.9,11819.98676966
2019-01-09,3994.75,4060.0,3948.44,4002.13,7390.13399203
2019-01-10,4003.09,4036.22,3503.44,3627.51,16118.42088248
2019-01-11,3627.65,3704.6,3569.85,3632.02,10571.08164263
2019-01-12,3631.0,3650.35,3557.09,3617.13,3184.35219414
2019-01-13,3617.75,3654.02,3476.0,3515.95,5908.52280454
2019-01-14,3517.03,3714.0,3506.0,3664.28,9925.99072165
2019-01-15,3664.28,3687.02,3534.68,3576.93,8059.8173777
2019-01-16,3576.92,3669.0,3570.48,3605.91,7675.06606371
2019-01-17,3609.5,3660.0,3534.25,3638.01,7499.52552971
2019-01-18,3638.01,3641.9,3577.0,3609.21,5023.5102908
2019-01-19,3609.29,3774.0,3602.6,3681.0,4080.88346413
2019-01-20,3680.0,3703.27,3470.0,3536.72,5591.01583422
2019-01-21,3537.42,3573.29,3485.58,3531.51,5821.89983137
2019-01-22,3531.51,3615.8,3401.36,3576.81,6877.0636755
2019-01-23,3574.44,3620.23,3518.0,3552.32,6170.84267224
2019-01-24,3553.2,3598.0,3524.0,3570.73,4488.01463801
2019-01-25,3570.67,3578.79,3511.0,3560.0,4961.79512299
2019-01-26,3560.94,3657.89,3536.51,3555.56,2697.88387935
2019-01-27,3555.31,3564.12,3456.0,3533.23,3852.6596409
2019-01-28,3532.23,3536.77,3357.3,3429.5,10345.1009104
2019-01-29,3431.43,3438.76,3322.19,3390.5,7284.38686266
2019-01-30,3391.25,3465.05,3372.34,3437.35,5704.02340186
2019-01-31,3438.0,3474.2,3392.6,3413.11,5951.8181698
2019-02-01,3413.69,3460.0,3364.53,3434.83,6659.84752495
2019-02-02,3434.83,3485.0,3406.38,3462.82,3051.95860768
2019-02-03,3470.5,3476.33,3384.67,3414.82,2813.89222442
2019-02-04,3413.75,3439.46,3394.85,3410.87,3244.08497898
2019-02-05,3409.81,3435.0,3396.0,3431.39,4045.62530164
2019-02-06,3431.81,3445.6,3328.7,3364.62,6137.40639817
2019-02-07,3364.0,3383.29,3350.0,3359.33,4293.5558141
2019-02-08,3358.39,3711.04,3337.91,3622.94,14388.64754224
2019-02-09,3626.12,3639.74,3589.52,3622.62,4054.50461695
2019-02-10,3622.74,3662.43,3576.16,3650.37,4155.50568273
2019-02-11,3651.32,3652.56,3578.7,3588.7,7931.40887407
2019-02-12,3588.99,3619.93,3548.28,3585.94,10074.81670532
2019-02-13,3585.7,3629.81,3541.0,3574.93,7992.74321134
2019-02-14,3575.01,3590.74,3531.01,3560.46,5910.24312876
2019-02-15,3560.45,3620.53,3544.88,3566.29,6234.76805726
2019-02-16,3566.29,3609.0,3561.96,3579.92,3442.47630393
2019-02-17,3580.43,3663.34,3553.98,3625.6,5012.46127538
2019-02-18,3625.6,3916.47,3614.82,3869.8,15567.08485429
2019-02-19,3870.97,4000.0,3840.08,3888.46,12525.13651013
2019-02-20,3889.92,3967.52,3861.49,3936.53,9854.35493853
2019-02-21,3936.8,3989.99,3866.25,3900.4,8055.79892817
2019-02-22,3900.64,3957.0,3882.59,3939.82,6593.85993401
2019-02-23,3939.83,4157.87,3905.63,4113.53,7966.31721086
2019-02-24,4113.56,4190.0,3714.42,3730.68,13737.01398845
2019-02-25,3733.78,3861.81,3732.6,3820.71,8835.36224921
2019-02-26,3817.93,3830.0,3760.09,3795.06,6543.16453722
2019-02-27,3794.42,3822.85,3658.19,3798.47,7602.29984472
2019-02-28,3796.49,3897.62,3755.0,3791.36,6747.88027166
2019-03-01,3791.02,3845.3,3789.5,3807.05,4761.41015902
2019-03-02,3805.0,3818.75,3760.0,3810.46,3259.74312485
2019-03-03,3810.47,3822.39,3756.0,3789.52,2508.08649072
2019-03-04,3789.7,3806.9,3670.0,3698.66,7293.71962839
2019-03-05,3698.65,3877.1,3690.0,3844.07,7280.82397551
2019-03-06,3844.07,3895.12,3808.8,3851.55,6402.67507493
2019-03-07,3851.26,3891.04,3826.13,3856.64,7964.50825371
2019-03-08,3856.78,3924.37,3760.1,3844.64,7707.39667049
2019-03-09,3841.27,3950.25,3835.66,3916.43,5125.89830383
2019-03-10,3916.42,3916.43,3862.0,3897.92,3000.60671855
2019-03-11,3898.14,3912.89,3812.64,3849.25,6612.11516125
2019-03-12,3848.86,3877.69,3791.07,3859.74,5794.61473428
2019-03-13,3861.37,3874.68,3820.0,3848.48,4275.54000025
2019-03-14,3848.1,3903.98,3775.01,3854.77,5167.56617609
2019-03-15,3857.33,3912.06,3843.09,3901.21,6411.98332751
2019-03-16,3899.19,4040.0,3899.12,3990.0,6959.47788339
